@2025-12-24T16:52:42.351933Z  INFO Runner: Starting connection cycle...
2025-12-24T16:52:42.364392Z  INFO PocketConnectThread: Connecting to PocketOption at wss://demo-api-eu.po.market/socket.io/?EIO=4&transport=websocket
2025-12-24T16:52:43.257355Z  INFO PocketConnect: Successfully connected to PocketOption
2025-12-24T16:52:43.260298Z  INFO Runner: Connection successful.
2025-12-24T16:52:43.263955Z  INFO Runner: Executing on_connect callback.
2025-12-24T16:52:43.279115Z  INFO Lightweight: Received: Text(Utf8Bytes(b"0{\"sid\":\"2YF5vuipvxL1jMZEKP_h\",\"upgrades\":[],\"pingInterval\":25000,\"pingTimeout\":20000,\"maxPayload\":1000000}"))
2025-12-24T16:52:43.456824Z  INFO Lightweight: Received: Text(Utf8Bytes(b"40{\"sid\":\"JU9imm0bAgcQPQrFKP_i\"}"))
2025-12-24T16:52:43.784487Z  INFO Lightweight: Received: Text(Utf8Bytes(b"451-[\"updateAssets\",{\"_placeholder\":true,\"num\":0}]"))
